"run","Consumer Total Panics","Consumer Liquidity Panics","Consumer Panic Panics","Consumer Estimated Liquidity Withdrawals","Consumer Estimated Panic Withdrawals","Consumer Estimated Bank Assets - Liquidity","Consumer Estimated Bank Assets - Panics","Consumer People Seen Panic","Consumers Shocked","Consumer Cash","Consumer Pure Panic","Bank Total Assets","Bank Total Liabilities","Bank Short Term Assets","Bank Long Term Assets","tick","DD Initial Withdrawals","Consumer Partial Shock","Consumer Count","Consumer Total Assets","Bank Failures","Consumer Average Panic Withdrawals","Consumer Seen Panic Proportion"
11,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.9199999999999996,670186.9483628883,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,100,670186.9483628883,0.0,1.0E-4,1.0E-7
11,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.8888888888888888,235872.75125526421,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,9,235872.75125526421,0.0,1.0E-4,1.0E-7
11,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.6666666666666666,86031.91154967253,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,3,86031.91154967253,0.0,1.0E-4,1.0E-7
11,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,2,0.0,0.0,1.0E-4,1.0E-7
13,0.93,0.93,0.6999999999999998,1.0497235991710965E7,3041752.8133258573,917930.8533790051,3803514.2989160027,4.300000000000001,0.8899999999999997,4991884.995654665,0.93,-0.99999999999567,514571.32318700786,4.3300260585965585E-12,-1.0,8.0,8120945.385313431,0.93,100,6044854.37510107,0.0,2737577.5320032705,0.04000000000000001
13,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.9800000000000002,350359.88481630123,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,100,350359.88481630123,0.0,1.0E-4,1.0E-7
13,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,6,0.0,0.0,1.0E-4,1.0E-7
15,0.9299999999999997,0.9299999999999997,0.6799999999999998,1.0611827845204802E7,2857274.8709413325,1015555.0927371724,4345593.107262404,4.3999999999999995,0.9,5019026.444236451,0.9299999999999997,-1.0,541115.0145930889,0.0,-1.0,8.0,8091855.343842955,0.9299999999999997,100,6073944.416571548,0.0,2600120.1325656115,0.06
15,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.9400000000000002,567456.3452009339,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,100,567456.3452009339,0.0,1.0E-4,1.0E-7
15,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.875,145159.80453810733,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,8,145159.80453810733,0.0,1.0E-4,1.0E-7
15,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.5,99271.34552876357,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,2,99271.34552876357,0.0,1.0E-4,1.0E-7
15,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,1.0,16336.585305398141,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,1,16336.585305398141,0.0,1.0E-4,1.0E-7
15,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,1,0.0,0.0,1.0E-4,1.0E-7
17,0.9499999999999998,0.9499999999999998,0.6399999999999998,1.043254178845486E7,3362387.8374080686,584379.2831466767,4292186.171630902,4.600000000000002,0.8699999999999998,5541076.801345448,0.9499999999999998,-1.0,554117.1577583078,0.0,-1.0,8.0,7888497.303147307,0.9499999999999998,100,6277302.457267193,0.0,3026149.053677259,0.04000000000000001
17,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.9299999999999998,821345.1570213542,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,100,821345.1570213542,0.0,1.0E-4,1.0E-7
17,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.9333333333333332,66022.0592571295,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,15,66022.0592571295,0.0,1.0E-4,1.0E-7
17,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,2,0.0,0.0,1.0E-4,1.0E-7
19,0.9199999999999996,0.9199999999999996,0.67,1.035652798446812E7,3035112.6292035314,1149297.9266530648,3848286.0326850917,4.230000000000003,0.8699999999999999,4901523.314893283,0.9199999999999996,-1.0,456467.3624290927,0.0,-1.0,8.0,8059982.9266563775,0.9199999999999996,100,6105816.833758124,0.0,2670899.1137111085,0.020000000000000004
19,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.8899999999999999,804004.2335406604,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,100,804004.2335406604,0.0,1.0E-4,1.0E-7
19,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.9333333333333332,125542.2902856379,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,15,125542.2902856379,0.0,1.0E-4,1.0E-7
19,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,2,0.0,0.0,1.0E-4,1.0E-7
21,0.8999999999999996,0.8999999999999996,0.6600000000000001,1.0137103828252502E7,3151404.2970886463,1444930.974210992,4576048.238524793,4.339999999999999,0.8599999999999997,4878445.33886127,0.8999999999999996,-1.0,458965.4701250041,0.0,-1.0,8.0,7773322.28844069,0.8999999999999996,100,6392477.471973811,0.0,2836263.867389783,0.049999999999999975
21,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.9700000000000001,272762.7219898141,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,100,272762.7219898141,0.0,1.0E-4,1.0E-7
21,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.7142857142857143,80662.72988057381,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,7,80662.72988057381,0.0,1.0E-4,1.0E-7
21,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,2,0.0,0.0,1.0E-4,1.0E-7
23,0.8899999999999999,0.8899999999999999,0.57,1.0067042415242877E7,2879140.834338846,1466676.5366038152,5069419.487114461,4.079999999999999,0.86,4835576.244137621,0.8899999999999999,-1.0,402452.89486005506,0.0,-1.0,8.0,7693220.770178295,0.8899999999999999,100,6472578.990236204,0.0,2591226.750914963,0.030000000000000006
23,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.8999999999999996,800771.1865631602,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,100,800771.1865631602,0.0,1.0E-4,1.0E-7
23,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.9166666666666666,149581.3848459812,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,12,149581.3848459812,0.0,1.0E-4,1.0E-7
23,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.6666666666666666,6083.757854968018,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,3,6083.757854968018,0.0,1.0E-4,1.0E-7
23,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,1,0.0,0.0,1.0E-4,1.0E-7
25,0.96,0.96,0.6599999999999998,1.0897637634487577E7,3050779.4260172336,576859.3706022524,3665262.270697967,4.440000000000003,0.9199999999999999,5284943.352041093,0.96,-1.0,607758.1070597743,0.0,-1.0,8.0,8276243.513999449,0.96,100,5889556.246415048,0.0,2715193.6891663373,0.05
25,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.89,795181.1184730954,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,100,795181.1184730954,0.0,1.0E-4,1.0E-7
25,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.8666666666666665,83286.82214571524,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,15,83286.82214571524,0.0,1.0E-4,1.0E-7
25,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,2,0.0,0.0,1.0E-4,1.0E-7
27,0.9500000000000002,0.9500000000000002,0.6399999999999999,1.0356120629154652E7,3415170.195859638,614895.0300280631,3849886.0268586003,4.479999999999999,0.88,5471359.141762514,0.9500000000000002,-1.0,470549.24044413905,0.0,-1.0,8.0,8066584.9052446745,0.9600000000000002,100,6099214.855169828,0.0,3073653.1762836757,0.070000001
27,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.9,1036771.0521156607,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,100,1036771.0521156607,0.0,1.0E-4,1.0E-7
27,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.8823529411764705,217168.28751687874,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,17,217168.28751687874,0.0,1.0E-4,1.0E-7
27,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,3,0.0,0.0,1.0E-4,1.0E-7
29,0.9499999999999997,0.9499999999999997,0.7099999999999999,1.059844883202799E7,3341758.164204359,597155.2778227052,3599893.000737508,4.68,0.8899999999999997,5264054.270982538,0.9499999999999997,-1.0,453436.2343215391,0.0,-1.0,8.0,8150013.992795927,0.9499999999999997,100,6015785.767618569,0.0,3074417.51107601,0.04000000000000001
29,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.8699999999999997,992917.5591435225,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,100,992917.5591435225,0.0,1.0E-4,1.0E-7
29,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,1.0,7735.358730369262,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,20,7735.358730369262,0.0,1.0E-4,1.0E-7
29,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,1,0.0,0.0,1.0E-4,1.0E-7
31,0.9199999999999999,0.9199999999999999,0.68,1.0555292028331673E7,2714014.3544069137,1098456.6277843132,3056355.13645246,4.140000000000001,0.8999999999999998,4584448.000709806,0.9199999999999999,-1.0,562798.5696891834,0.0,-1.0,8.0,8372159.683324222,0.9199999999999999,100,5793640.077090281,0.0,2306912.201260877,0.060000000000000026
31,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.9800000000000002,205343.2913548848,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,100,205343.2913548848,0.0,1.0E-4,1.0E-7
