"run","Blank","Consumer Shock Probability","Consumer Distribution Deviation","Consumer Initial Endowment","Consumer Income","Bank Assets Visible","Consumer Shock Multiplier","All Consumers Visible","Bank Initial Endowment","Consumer Mean Rate of Consumption","Consumer Short Term Payout","Bank Long Term Asset Return","Bank Short Term Asset Return","randomSeed","Consumer Long Term Payout","Expected Average Withdrawal","Bank Count","Consumer Count","Bank Cost 2","Consumer Group Size"
1,0.0,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770802645,5.7142857,82500.0,1,100,5000.0,10
3,0.01,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770801365,5.7142857,82500.0,1,100,5000.0,10
5,0.02,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770800595,5.7142857,82500.0,1,100,5000.0,10
7,0.03,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770799872,5.7142857,82500.0,1,100,5000.0,10
9,0.04,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770799246,5.7142857,82500.0,1,100,5000.0,10
11,0.05,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770798559,5.7142857,82500.0,1,100,5000.0,10
13,0.06,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770797943,5.7142857,82500.0,1,100,5000.0,10
15,0.07,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770797236,5.7142857,82500.0,1,100,5000.0,10
17,0.08,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770796654,5.7142857,82500.0,1,100,5000.0,10
19,0.09,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770795993,5.7142857,82500.0,1,100,5000.0,10
21,0.1,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770795255,5.7142857,82500.0,1,100,5000.0,10
23,0.11,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770794615,5.7142857,82500.0,1,100,5000.0,10
25,0.12,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770794085,5.7142857,82500.0,1,100,5000.0,10
27,0.13,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770793459,5.7142857,82500.0,1,100,5000.0,10
29,0.14,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770792673,5.7142857,82500.0,1,100,5000.0,10
31,0.15,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770791919,5.7142857,82500.0,1,100,5000.0,10
33,0.16,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770791350,5.7142857,82500.0,1,100,5000.0,10
35,0.17,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770790809,5.7142857,82500.0,1,100,5000.0,10
37,0.18,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770790099,5.7142857,82500.0,1,100,5000.0,10
39,0.19,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770789473,5.7142857,82500.0,1,100,5000.0,10
41,0.2,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770788838,5.7142857,82500.0,1,100,5000.0,10
43,0.21,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770788197,5.7142857,82500.0,1,100,5000.0,10
45,0.22,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770787634,5.7142857,82500.0,1,100,5000.0,10
47,0.23,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770787011,5.7142857,82500.0,1,100,5000.0,10
49,0.24,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770786476,5.7142857,82500.0,1,100,5000.0,10
51,0.25,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770785815,5.7142857,82500.0,1,100,5000.0,10
53,0.26,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770785033,5.7142857,82500.0,1,100,5000.0,10
55,0.27,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770784222,5.7142857,82500.0,1,100,5000.0,10
57,0.28,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770783475,5.7142857,82500.0,1,100,5000.0,10
59,0.29,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770782766,5.7142857,82500.0,1,100,5000.0,10
61,0.3,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770782245,5.7142857,82500.0,1,100,5000.0,10
63,0.31,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770781626,5.7142857,82500.0,1,100,5000.0,10
65,0.32,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770781133,5.7142857,82500.0,1,100,5000.0,10
67,0.33,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770780527,5.7142857,82500.0,1,100,5000.0,10
69,0.34,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770779939,5.7142857,82500.0,1,100,5000.0,10
71,0.35,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770779385,5.7142857,82500.0,1,100,5000.0,10
73,0.36,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770778853,5.7142857,82500.0,1,100,5000.0,10
75,0.37,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770778261,5.7142857,82500.0,1,100,5000.0,10
77,0.38,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770777602,5.7142857,82500.0,1,100,5000.0,10
79,0.39,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770776796,5.7142857,82500.0,1,100,5000.0,10
81,0.4,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770776012,5.7142857,82500.0,1,100,5000.0,10
83,0.41,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770775329,5.7142857,82500.0,1,100,5000.0,10
85,0.42,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770774787,5.7142857,82500.0,1,100,5000.0,10
87,0.43,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770774262,5.7142857,82500.0,1,100,5000.0,10
89,0.44,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770773697,5.7142857,82500.0,1,100,5000.0,10
91,0.45,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770773155,5.7142857,82500.0,1,100,5000.0,10
93,0.46,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770772575,5.7142857,82500.0,1,100,5000.0,10
95,0.47,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770772030,5.7142857,82500.0,1,100,5000.0,10
97,0.48,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770771499,5.7142857,82500.0,1,100,5000.0,10
99,0.49,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770770965,5.7142857,82500.0,1,100,5000.0,10
101,0.5,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770770386,5.7142857,82500.0,1,100,5000.0,10
103,0.51,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770769831,5.7142857,82500.0,1,100,5000.0,10
105,0.52,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770769348,5.7142857,82500.0,1,100,5000.0,10
107,0.53,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770768800,5.7142857,82500.0,1,100,5000.0,10
109,0.54,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770768323,5.7142857,82500.0,1,100,5000.0,10
111,0.55,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770767815,5.7142857,82500.0,1,100,5000.0,10
113,0.56,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770767291,5.7142857,82500.0,1,100,5000.0,10
115,0.57,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770766815,5.7142857,82500.0,1,100,5000.0,10
117,0.58,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770766315,5.7142857,82500.0,1,100,5000.0,10
119,0.59,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770765700,5.7142857,82500.0,1,100,5000.0,10
121,0.6,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770765201,5.7142857,82500.0,1,100,5000.0,10
123,0.61,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770764629,5.7142857,82500.0,1,100,5000.0,10
125,0.62,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770764071,5.7142857,82500.0,1,100,5000.0,10
127,0.63,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770763533,5.7142857,82500.0,1,100,5000.0,10
129,0.64,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770762971,5.7142857,82500.0,1,100,5000.0,10
131,0.65,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770762420,5.7142857,82500.0,1,100,5000.0,10
133,0.66,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770761881,5.7142857,82500.0,1,100,5000.0,10
135,0.67,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770761353,5.7142857,82500.0,1,100,5000.0,10
137,0.68,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770760856,5.7142857,82500.0,1,100,5000.0,10
139,0.69,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770760204,5.7142857,82500.0,1,100,5000.0,10
141,0.7,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770759694,5.7142857,82500.0,1,100,5000.0,10
143,0.71,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770759172,5.7142857,82500.0,1,100,5000.0,10
145,0.72,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770758631,5.7142857,82500.0,1,100,5000.0,10
147,0.73,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770758060,5.7142857,82500.0,1,100,5000.0,10
149,0.74,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770757476,5.7142857,82500.0,1,100,5000.0,10
151,0.75,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770756960,5.7142857,82500.0,1,100,5000.0,10
153,0.76,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770756469,5.7142857,82500.0,1,100,5000.0,10
155,0.77,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770755913,5.7142857,82500.0,1,100,5000.0,10
157,0.78,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770755417,5.7142857,82500.0,1,100,5000.0,10
159,0.79,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770754919,5.7142857,82500.0,1,100,5000.0,10
161,0.8,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770754417,5.7142857,82500.0,1,100,5000.0,10
163,0.81,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770753873,5.7142857,82500.0,1,100,5000.0,10
165,0.82,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770753349,5.7142857,82500.0,1,100,5000.0,10
167,0.83,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770752827,5.7142857,82500.0,1,100,5000.0,10
169,0.84,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770752297,5.7142857,82500.0,1,100,5000.0,10
171,0.85,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770751756,5.7142857,82500.0,1,100,5000.0,10
173,0.86,0.9,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,2.380457,6.0,1.0,-770751142,5.7142857,82500.0,1,100,5000.0,10
