"run","Blank","Consumer Shock Probability","Consumer Distribution Deviation","Consumer Initial Endowment","Consumer Income","Bank Assets Visible","Consumer Shock Multiplier","All Consumers Visible","Bank Initial Endowment","Consumer Mean Rate of Consumption","Consumer Short Term Payout","Bank Long Term Asset Return","Bank Short Term Asset Return","randomSeed","Consumer Long Term Payout","Expected Average Withdrawal","Bank Count","Consumer Count","Bank Cost 2","Consumer Group Size"
73,0.072,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667118715,1.73913,42500.0,1,100,5000.0,10
75,0.074,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667118003,1.73913,42500.0,1,100,5000.0,10
77,0.076,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667117295,1.73913,42500.0,1,100,5000.0,10
79,0.078,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667116522,1.73913,42500.0,1,100,5000.0,10
81,0.08,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667115821,1.73913,42500.0,1,100,5000.0,10
83,0.082,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667115076,1.73913,42500.0,1,100,5000.0,10
85,0.084,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667114462,1.73913,42500.0,1,100,5000.0,10
87,0.086,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667113416,1.73913,42500.0,1,100,5000.0,10
89,0.088,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667112490,1.73913,42500.0,1,100,5000.0,10
91,0.09,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667111683,1.73913,42500.0,1,100,5000.0,10
93,0.092,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667110934,1.73913,42500.0,1,100,5000.0,10
95,0.094,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667110192,1.73913,42500.0,1,100,5000.0,10
97,0.096,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667109251,1.73913,42500.0,1,100,5000.0,10
99,0.098,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667108477,1.73913,42500.0,1,100,5000.0,10
101,0.1,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667107571,1.73913,42500.0,1,100,5000.0,10
103,0.102,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667106835,1.73913,42500.0,1,100,5000.0,10
105,0.104,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667105830,1.73913,42500.0,1,100,5000.0,10
107,0.106,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667105158,1.73913,42500.0,1,100,5000.0,10
109,0.108,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667104425,1.73913,42500.0,1,100,5000.0,10
111,0.11,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667103650,1.73913,42500.0,1,100,5000.0,10
113,0.112,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667102987,1.73913,42500.0,1,100,5000.0,10
