"run","PlaceInLine","PanicFlag","PanicPanic","LiquidityPanic","PartialShock","PurePanic","NeighborPanicCount","OthersConsumption","tick"
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,18.0
1,0,"false","false","false","false","false",0,1.0E-4,28.0
1,0,"false","false","false","false","false",0,1.0E-4,28.0
1,0,"false","false","false","false","false",0,1.0E-4,28.0
1,0,"false","false","false","false","false",0,1.0E-4,28.0
1,0,"false","false","false","false","false",0,1.0E-4,28.0
1,0,"false","false","false","false","false",0,1.0E-4,28.0
1,0,"false","false","false","false","false",0,1.0E-4,28.0
1,0,"false","false","false","false","false",0,1.0E-4,28.0
1,0,"false","false","false","false","false",0,1.0E-4,28.0
1,0,"false","false","false","false","false",0,1.0E-4,28.0
1,0,"false","false","false","false","false",0,1.0E-4,28.0
1,0,"false","false","false","false","false",0,1.0E-4,28.0
1,0,"false","false","false","false","false",0,1.0E-4,28.0
1,0,"false","false","false","false","false",0,1.0E-4,28.0
1,0,"false","false","false","false","false",0,1.0E-4,28.0
1,0,"false","false","false","false","false",0,1.0E-4,28.0
1,0,"false","false","false","false","false",0,1.0E-4,38.0
3,95,"true","true","true","true","true",9,1.3677049563438196E7,8.0
3,68,"true","true","true","true","true",8,1.230984902202973E7,8.0
3,65,"true","true","true","true","true",8,1.3165940430281343E7,8.0
3,76,"true","true","true","true","true",6,1.1018616406509187E7,8.0
3,99,"true","true","true","true","true",10,1.4165799761414498E7,8.0
3,97,"true","true","true","true","true",10,1.4261601626809401E7,8.0
3,69,"true","true","true","true","true",8,1.2131124669747818E7,8.0
3,86,"true","true","true","true","true",8,1.1332639809331598E7,8.0
3,59,"true","false","true","true","true",3,8580454.162729913,8.0
3,10,"false","false","false","false","false",1,6924365.719283995,8.0
3,50,"true","true","true","true","true",3,9522310.111371078,8.0
3,47,"true","true","true","true","true",4,1.0674345355558835E7,8.0
3,73,"true","true","true","true","true",6,1.1699417735967346E7,8.0
3,91,"true","true","true","true","true",10,1.4165799761414498E7,8.0
3,64,"true","true","true","true","true",7,1.1749454705465904E7,8.0
3,28,"true","true","true","true","true",2,8408353.157607768,8.0
3,15,"true","true","true","true","true",3,1.0804232378491648E7,8.0
3,44,"true","true","true","true","true",5,1.1935594715408301E7,8.0
3,36,"true","true","true","true","true",6,1.2096844369604329E7,8.0
3,12,"true","false","true","true","true",0,9352482.040158072,8.0
3,70,"true","true","true","true","true",6,1.0137711748752968E7,8.0
3,62,"true","true","true","true","true",7,1.2799960148981962E7,8.0
3,39,"true","false","true","true","true",3,1.0703834660746882E7,8.0
3,92,"true","true","true","true","true",10,1.4165799761414498E7,8.0
3,88,"true","false","true","true","true",6,1.1044187405860603E7,8.0
3,56,"true","true","true","true","true",7,1.2809499260353293E7,8.0
3,46,"true","true","true","true","true",5,1.1736668492912231E7,8.0
3,13,"true","false","true","true","true",2,1.0637194468480958E7,8.0
3,23,"true","true","true","true","true",3,1.098233871415072E7,8.0
3,21,"true","true","true","true","true",1,9821754.485271666,8.0
3,71,"true","true","true","true","true",7,1.262081006742708E7,8.0
3,89,"true","true","true","true","true",8,1.2235814212818295E7,8.0
3,42,"true","false","true","true","true",2,1.0464922537291285E7,8.0
3,11,"true","false","true","true","true",0,8884212.78514507,8.0
3,7,"true","false","true","true","true",0,8200232.355358463,8.0
3,41,"true","false","true","true","true",2,8524315.654782346,8.0
3,8,"true","false","true","true","true",1,9292719.425343763,8.0
3,45,"true","true","true","true","true",5,1.0703368105853302E7,8.0
3,48,"true","true","true","true","true",4,9421508.740206186,8.0
3,38,"true","true","true","true","true",2,1.0254678296319043E7,8.0
3,100,"true","true","true","true","true",1,1.41657997704145E7,8.0
3,60,"true","false","true","true","true",6,1.1357210821555264E7,8.0
3,26,"true","true","true","true","true",1,9056974.664160728,8.0
3,55,"true","true","true","true","true",7,1.1854522254196115E7,8.0
3,90,"true","true","true","true","true",10,1.4165799761414498E7,8.0
3,16,"true","false","true","true","true",1,9640902.109410202,8.0
3,51,"true","true","true","true","true",4,1.0440752060380528E7,8.0
3,98,"true","true","true","true","true",4,1.4287991625629444E7,8.0
3,57,"true","true","true","true","true",7,1.293595651426925E7,8.0
3,83,"true","true","true","true","true",8,1.2275373545367159E7,8.0
3,72,"true","true","true","true","true",6,1.0178885892199386E7,8.0
3,75,"true","true","true","true","true",5,1.078875071023256E7,8.0
3,32,"true","true","true","true","true",3,1.0891018769423846E7,8.0
3,81,"true","true","true","true","true",9,1.2749219785373049E7,8.0
3,3,"true","false","true","true","true",0,9523700.56116721,8.0
3,54,"true","true","true","true","true",6,1.2086066441189874E7,8.0
3,14,"true","true","true","true","true",1,8973107.79249395,8.0
3,85,"true","true","true","true","true",10,1.4165799761414498E7,8.0
3,52,"true","true","true","true","true",3,8804822.006823026,8.0
3,79,"true","true","true","true","true",8,1.3408737137967762E7,8.0
