run,Consumer Total Panics,Consumer Liquidity Panics,Consumer Panic Panics,Consumer Estimated Liquidity Withdrawals,Consumer Estimated Panic Withdrawals,Consumer People Seen Panic,Consumers Shocked,Consumer Cash,Consumer Pure Panic,Bank Total Assets,Bank Total Liabilities,Bank Short Term Assets,Bank Long Term Assets,tick,DD Initial Withdrawals,Consumer Partial Shock,Consumer Count,Consumer Total Assets,Bank Failures,Consumer Average Panic Withdrawals,Consumer Seen Panic Proportion,Consumer Estimated Bank Assets,Bank Assets After Initial
3,0.037037037,0.037037037,0,2531406.056,9053227.834,0.203703704,0.518518519,133903.7512,0.037037037,8.74E+07,3.63E+07,8.74E+07,0,141,2311088.574,0.518518519,54,8.16E+07,0,1844176.04,0,7.04E+07,8.74E+07
5,0.42,0.42,0.01,6697915.47,3619531.381,1.87,0.55,3442778.617,0.42,7576035.933,3328780.199,1826034.495,5750001.438,9,4731186.888,0.55,100,1.28E+07,0,2569867.28,0,1.10E+07,7576035.933
5,0.4,0.4,0.2,4859085.781,2919714.892,1.72,0.49,1131423.957,0.21,1.02E+07,4908970.297,8362075.766,1826034.495,21,4180921.936,0.42,100,1.18E+07,0,1897814.68,0,1.03E+07,1.02E+07
5,0.283950617,0.283950617,0.172839506,3015996.816,3552430.783,1.827160494,0.444444444,467464.8072,0.135802469,9460543.704,3599737.243,1098467.938,8362075.766,33,2937092.482,0.358024691,81,1.28E+07,0,2499858.699,0,1.17E+07,9460543.704
5,0.275362319,0.275362319,0.072463768,3848185.187,3369812.93,1.507246377,0.594202899,734333.7636,0.188405797,1.25E+07,6621223.904,1.14E+07,1098467.938,45,3477570.07,0.594202899,69,1.36E+07,0,2393055.559,0,1.15E+07,1.25E+07
5,0.222222222,0.222222222,0.095238095,2713775.39,2943299.255,1.206349206,0.492063492,493584.9286,0.158730159,1.09E+07,4015462.941,0,1.09E+07,57,2492966.783,0.523809524,63,1.56E+07,0,1775323.36,1.59E-09,1.43E+07,1.09E+07
5,0.220338983,0.220338983,0.06779661,2706250.672,3280679.327,1.050847458,0.542372881,495558.3825,0.152542373,1.68E+07,9090785.215,1.68E+07,0,69,2747415.872,0.576271186,59,1.78E+07,0,2112979.906,0,1.49E+07,1.68E+07
5,0.163636364,0.163636364,0.018181818,2388245.015,4245277.962,0.781818182,0.454545455,318186.4109,0.109090909,1.41E+07,4998424.476,0,1.41E+07,81,2041918.238,0.472727273,55,2.14E+07,0,1775298.057,0,1.98E+07,1.41E+07
5,0.173076923,0.173076923,0.019230769,2328225.042,4859885.515,1.115384615,0.5,334050.3936,0.115384615,2.32E+07,1.38E+07,2.32E+07,0,93,2104341.473,0.5,52,2.61E+07,0,3364536.126,0,2.18E+07,2.32E+07
5,0.142857143,0.142857143,0.06122449,2369080.897,6381432.897,0.836734694,0.530612245,155145.5123,0.06122449,2.05E+07,7661684.813,0,2.05E+07,105,2225691.199,0.489795918,49,3.24E+07,0,2995366.462,0,3.00E+07,2.05E+07
5,0.066666667,0.066666667,0,2109318.931,4640959.106,0.488888889,0.555555556,67719.85974,0.022222222,3.51E+07,2.15E+07,3.51E+07,0,117,2017947.197,0.533333333,45,4.06E+07,0,1959516.067,0,3.39E+07,3.51E+07
5,0.023255814,0.023255814,0,1884923.29,5720849.041,0.325581395,0.441860465,70614.76203,0.023255814,3.30E+07,1.23E+07,0,3.30E+07,129,1526923.186,0.465116279,43,5.21E+07,0,1862602.014,0,4.83E+07,3.30E+07
5,0.023255814,0.023255814,0,1919294.494,5270610.966,0.209302326,0.488372093,0,0,5.82E+07,3.54E+07,5.82E+07,0,141,1701670.775,0.465116279,43,6.68E+07,0,1103151.132,0,5.59E+07,5.82E+07
7,0.45,0.45,0.03,6678489.251,4007949.373,2.02,0.53,3824054.725,0.45,7437821.757,3162500.407,1687820.32,5750001.438,9,4488124.955,0.54,100,1.30E+07,0,2725405.573,1.00E-09,1.13E+07,7437821.757
7,0.5,0.49,0.3,5989425.129,3102090.092,2.27,0.62,1675627.038,0.29,8704485.364,4744590.602,7016665.044,1687820.32,21,5478895.738,0.54,100,1.08E+07,0,1954316.758,1.00E-09,9284014.107,8704485.364
7,0.329113924,0.329113924,0.227848101,2776077.764,3306573.785,2.063291139,0.481012658,361760.979,0.164556962,8278486.808,2671808.475,1261821.764,7016665.044,33,3250225.073,0.405063291,79,1.12E+07,0,2427611.133,1.27E-09,1.03E+07,8278486.808
7,0.303030303,0.287878788,0.196969697,2852551.837,3215801.568,1.636363636,0.439393939,654696.823,0.227272727,1.11E+07,5950597.448,9861699.316,1261821.764,45,2459047.887,0.5,66,1.24E+07,0,1997694.913,1.52E-09,1.05E+07,1.11E+07
7,0.360655738,0.360655738,0.196721311,3142692.04,3968822.497,1.737704918,0.639344262,747582.7965,0.213114754,8732946.153,3800913.456,0,8732946.153,57,3405751.076,0.557377049,61,1.33E+07,0,2732631.883,1.64E-09,1.21E+07,8732946.153
7,0.25,0.25,0.096153846,2208851.749,2398658.812,0.711538462,0.461538462,424678.1915,0.192307692,1.39E+07,7239830.16,1.39E+07,0,69,1996320.545,0.538461538,52,1.54E+07,0,1107073.298,3.85E-09,1.32E+07,1.39E+07
7,0.224489796,0.224489796,0.12244898,1650410.818,2801863.062,0.795918367,0.428571429,310927.4932,0.142857143,1.15E+07,5401566.234,0,1.15E+07,81,1761922.433,0.469387755,49,1.87E+07,0,1200798.455,4.08E-09,1.71E+07,1.15E+07
7,0.177777778,0.155555556,0.066666667,2155334.828,4813669.62,0.577777778,0.511111111,719639.7314,0.088888889,1.84E+07,1.06E+07,1.84E+07,0,93,1934719.461,0.488888889,45,2.28E+07,0,2032438.284,0.022222222,1.94E+07,1.84E+07
7,0.097560976,0.097560976,0.024390244,2144550.502,4465352.893,0.487804878,0.585365854,133948.4439,0.024390244,1.66E+07,7979925.817,0,1.66E+07,105,2042208.323,0.512195122,41,2.80E+07,0,1415843.6,0,2.55E+07,1.66E+07
7,0,0,0,2080963.858,0,0,0.605263158,0,0,2.79E+07,1.69E+07,2.79E+07,0,117,2025347.653,0.605263158,38,3.48E+07,0,1.00E-04,2.63E-09,2.96E+07,2.79E+07
7,0,0,0,1529256.769,0,0,0.473684211,0,0,2.59E+07,1.26E+07,0,2.59E+07,129,1564610.578,0.473684211,38,4.44E+07,0,1.00E-04,2.63E-09,4.06E+07,2.59E+07
7,0.026315789,0.026315789,0,1747965.443,6262626.703,0.157894737,0.526315789,46976.98516,0.026315789,4.50E+07,2.75E+07,4.50E+07,0,141,1661105.119,0.526315789,38,5.68E+07,0,988835.7953,0,4.83E+07,4.50E+07
9,0.46,0.46,0.07,6908930.943,3272224.794,1.97,0.57,3757798.977,0.46,7110900.232,3105000.776,1360898.794,5750001.438,9,4881302.229,0.57,100,1.26E+07,0,2486890.843,0,1.09E+07,7110900.232
9,0.37,0.36,0.2,3961032.177,2933439.288,1.72,0.38,1353791.619,0.25,1.10E+07,4722248.837,9641373.934,1360898.794,21,2987780.127,0.4,100,1.27E+07,0,2141410.68,0,1.12E+07,1.10E+07
9,0.477272727,0.477272727,0.215909091,4655907.593,4156499.849,2.227272727,0.5,1850489.7,0.375,7835991.795,3860837.103,4.76E-12,7835991.795,33,3618177.811,0.556818182,88,1.30E+07,0,3259073.745,0.011363636,1.17E+07,7835991.795
9,0.379746835,0.379746835,0.240506329,3226619.252,3712622.466,1.924050633,0.481012658,771244.8245,0.227848101,1.23E+07,5714534.762,1.23E+07,4.76E-12,45,3166525.665,0.493670886,79,1.40E+07,0,2772718.045,0,1.22E+07,1.23E+07
9,0.268656716,0.268656716,0.119402985,2420625.271,2991058.131,1.119402985,0.417910448,485471.6199,0.164179104,1.02E+07,5496920.32,0,1.02E+07,57,2227117.499,0.447761194,67,1.64E+07,0,1785706.347,0,1.47E+07,1.02E+07
9,0.283333333,0.283333333,0.133333333,2955043.552,3397932.819,0.983333333,0.516666667,701675.1522,0.216666667,1.56E+07,8057972.99,1.56E+07,0,69,2600990.901,0.566666667,60,1.90E+07,0,2208656.333,0,1.65E+07,1.56E+07
9,0.232142857,0.232142857,0.107142857,2611572.388,5078466.42,1.089285714,0.553571429,411419.6837,0.125,1.29E+07,7633744.537,0,1.29E+07,81,2703511.102,0.553571429,56,2.25E+07,0,2720607.011,0,2.01E+07,1.29E+07
9,0.18,0.18,0.08,2158986.816,4480473.072,1.1,0.46,271711.3986,0.1,2.15E+07,1.17E+07,2.15E+07,0,93,1951484.888,0.44,50,2.77E+07,0,2777893.305,0,2.41E+07,2.15E+07
9,0.108695652,0.108695652,0.043478261,2012788.582,6560268.907,0.913043478,0.5,22567.76939,0.02173913,1.92E+07,1.19E+07,0,1.92E+07,105,1836590.908,0.434782609,46,3.48E+07,0,3280134.454,0,3.11E+07,1.92E+07
9,0.023809524,0.023809524,0,1712897.617,7575521.439,0.071428571,0.428571429,0,0,3.32E+07,1.90E+07,3.32E+07,0,117,1486771.22,0.404761905,42,4.44E+07,0,541108.6743,0,3.85E+07,3.32E+07
9,0.024390244,0.024390244,0,1968349.305,5489172.451,0.219512195,0.512195122,43985.07476,0.024390244,3.09E+07,1.90E+07,0,3.09E+07,129,1762589.808,0.512195122,41,5.68E+07,0,1204940.294,2.44E-09,5.10E+07,3.09E+07
9,0.048780488,0.024390244,0.024390244,1702584.734,3.98E+07,0.097560976,0.487804878,2973738.687,0.024390244,5.13E+07,3.03E+07,5.13E+07,0,141,1625092.37,0.463414634,41,7.33E+07,0,3885799.08,0.024390244,6.34E+07,5.13E+07
11,0.59,0.58,0.07,8354505.618,4276533.286,2.83,0.64,4909725.009,0.59,5145565.739,2357500.589,0,5145565.739,9,5694710.689,0.65,100,1.18E+07,0,3592287.96,0,1.01E+07,5145565.739
11,0.45,0.45,0.27,4871058.424,2628725.053,2.13,0.51,1359840.883,0.24,8466361.374,3799243.411,8466361.374,0,21,4242057.578,0.45,100,1.00E+07,0,2181841.794,0,8872820.895,8466361.374
11,0.455696203,0.455696203,0.316455696,3739259.637,3059131.879,2.518987342,0.556962025,953679.6789,0.303797468,5066046.961,2751947.873,0,5066046.961,33,3795652.783,0.481012658,79,9526207.017,0,2594453.619,0,8575772.807,5066046.961
11,0.402985075,0.402985075,0.253731343,2832916.07,2557616.351,1.820895522,0.432835821,739604.8638,0.253731343,7111401.979,4324774.507,7111401.979,0,45,2429303.863,0.462686567,67,1.04E+07,0,1870495.54,0,9027706.159,7111401.979
11,0.350877193,0.350877193,0.175438596,2862964.601,3292217.717,2.140350877,0.666666667,385551.5024,0.122807018,4328387.995,3790015.992,0,4328387.995,57,3295327.707,0.526315789,57,1.08E+07,0,2599119.25,0,9675869.869,4328387.995
11,0.204545455,0.204545455,0.068181818,2176398.265,2296078.884,1.090909091,0.477272727,302487.7703,0.136363636,5795332.583,5224327.326,5795332.583,0,69,1793356.841,0.477272727,44,1.25E+07,0,1356773.886,0,1.09E+07,5795332.583
11,0.170731707,0.170731707,0.048780488,1518993.133,1774420.308,0.585365854,0.390243902,315231.898,0.146341463,3772539.602,5154674.768,0,3772539.602,81,1285050.992,0.463414634,41,1.52E+07,0,822292.3381,0,1.36E+07,3772539.602
11,0.175,0.175,0.075,1899783.393,2602562.675,0.875,0.5,243457.1612,0.1,4948954.212,7863553.048,4948954.212,0,93,1633741.9,0.475,40,1.84E+07,0,1301281.338,0,1.59E+07,4948954.212
11,0.054054054,0.054054054,0.027027027,1602531.158,644321.2932,0.054054054,0.540540541,0,0,2936700.687,7697731.766,19871.95087,2916828.736,105,1632733.648,0.486486486,37,2.27E+07,0,34828.17811,0,2.03E+07,2936700.687
11,0.057142857,0.057142857,0,1716891.025,1553788.459,0.142857143,0.514285714,76342.42361,0.057142857,3220783.547,1.24E+07,3200911.596,19871.95087,117,1549129.017,0.514285714,35,2.83E+07,0,221969.7799,0,2.45E+07,3220783.547
11,0.085714286,0.085714286,0.028571429,2245635.117,4301266.716,0.628571429,0.657142857,178258.2644,0.057142857,642904.195,1.18E+07,0,642904.195,129,1968407.352,0.657142857,35,3.55E+07,0,2334973.36,0,3.19E+07,642904.195
11,0.029411765,0.029411765,0,1376394.379,0,0,0.441176471,0,0,-1,1.98E+07,0,-1,141,1189848.24,0.411764706,34,4.56E+07,1,1.00E-04,0,3.95E+07,-1
13,0.23,0.23,0,4822119.731,2830360.829,1.13,0.41,1870979.36,0.23,1.06E+07,4425317.168,4848077.301,5750001.438,9,3280943.339,0.41,100,1.42E+07,0,1641609.281,0,1.25E+07,1.06E+07
13,0.31,0.31,0.15,5053639.65,2590321.754,1.2,0.54,763775.2528,0.19,1.16E+07,6418720.108,6727411.52,4848077.301,21,4532157.747,0.48,100,1.38E+07,0,1683709.14,0,1.18E+07,1.16E+07
13,0.306818182,0.306818182,0.136363636,3718898.83,3741911.504,1.568181818,0.465909091,1016493.528,0.215909091,1.19E+07,4092855.509,5136473.588,6727411.52,33,3389860.595,0.488636364,88,1.50E+07,0,2678868.463,0,1.37E+07,1.19E+07
13,0.2875,0.2875,0.1,4196244.593,3391034.507,1.35,0.4875,1122852.698,0.2125,1.38E+07,7317218.697,8672744.888,5136473.588,45,3272948.464,0.5625,80,1.65E+07,0,2077008.635,0,1.41E+07,1.38E+07
13,0.256756757,0.256756757,0.121621622,3044034.347,2950102.169,1.013513514,0.5,542627.1604,0.135135135,1.54E+07,5625061.772,6701430.309,8672744.888,57,3055607.376,0.432432432,74,1.86E+07,0,1475051.084,0,1.69E+07,1.54E+07
13,0.2,0.2,0.107692308,3286633.538,3586739.196,1.030769231,0.538461538,414823.3926,0.123076923,1.94E+07,9995378.075,1.27E+07,6701430.309,69,2975627.298,0.538461538,65,2.16E+07,0,1986501.709,0,1.85E+07,1.94E+07
13,0.25,0.25,0.066666667,3635515.272,4880839.542,1.233333333,0.616666667,686963.0838,0.183333333,2.11E+07,7867599.561,8366932.625,1.27E+07,81,3265778.535,0.616666667,60,2.53E+07,0,2765809.074,0,2.28E+07,2.11E+07
13,0.160714286,0.160714286,0.071428571,2219579.312,5906686.581,0.982142857,0.5,230062.6652,0.053571429,2.95E+07,1.42E+07,2.11E+07,8366932.625,93,2346614.056,0.446428571,56,3.11E+07,0,2742390.198,0,2.67E+07,2.95E+07
13,0.04,0.04,0,2084837.608,5800511.363,0.06,0.48,83245.60995,0.04,3.41E+07,1.20E+07,1.30E+07,2.11E+07,105,1876600.708,0.48,50,3.91E+07,0,232020.4546,0,3.54E+07,3.41E+07
13,0.08,0.08,0.04,2086401.97,6076291.111,0.34,0.46,93387.33455,0.06,4.92E+07,2.28E+07,3.62E+07,1.30E+07,117,1870958.784,0.46,50,4.96E+07,0,1458309.867,0,4.25E+07,4.92E+07
13,0.06122449,0.06122449,0,2248614.905,8278004.255,0.346938776,0.489795918,105303.7366,0.040816327,5.75E+07,1.95E+07,2.14E+07,3.62E+07,129,2045858.278,0.510204082,49,6.35E+07,0,2027266.348,0,5.75E+07,5.75E+07
13,0.0625,0.0625,0,2273879.534,1.87E+07,0.229166667,0.5625,72232.69676,0.041666667,8.47E+07,3.73E+07,6.34E+07,2.14E+07,141,2218027.355,0.5625,48,8.14E+07,0,2733623.73,0,6.99E+07,8.47E+07
15,0.33,0.33,0,5282807.251,3193074.27,1.62,0.44,2559429.658,0.33,9493904.407,3852500.963,3743902.97,5750001.438,9,3696667.373,0.44,100,1.38E+07,0,2267082.732,0,1.21E+07,9493904.407
15,0.32,0.32,0.14,4912361.435,3142791.687,1.54,0.51,937882.0387,0.18,1.13E+07,6039339.392,7538120.861,3743902.97,21,4334359.469,0.46,100,1.33E+07,0,2137098.347,0,1.14E+07,1.13E+07
