"run","Blank","Consumer Shock Probability","Consumer Distribution Deviation","Consumer Initial Endowment","Consumer Income","Bank Assets Visible","Consumer Shock Multiplier","All Consumers Visible","Bank Initial Endowment","Consumer Mean Rate of Consumption","Consumer Short Term Payout","Bank Long Term Asset Return","Bank Short Term Asset Return","randomSeed","Consumer Long Term Payout","Expected Average Withdrawal","Bank Count","Consumer Count","Bank Cost 2","Consumer Group Size"
1,0.0,0.5,0.1,100000.0,50000.0,"true",2.0,"true",0.0,0.85,1.308761,1.826087,1.0,-662166976,1.73913,42500.0,1,100,5000.0,10
3,0.002,0.5,0.1,100000.0,50000.0,"true",2.0,"true",0.0,0.85,1.308761,1.826087,1.0,-662165259,1.73913,42500.0,1,100,5000.0,10
5,0.004,0.5,0.1,100000.0,50000.0,"true",2.0,"true",0.0,0.85,1.308761,1.826087,1.0,-662164427,1.73913,42500.0,1,100,5000.0,10
7,0.006,0.5,0.1,100000.0,50000.0,"true",2.0,"true",0.0,0.85,1.308761,1.826087,1.0,-662163789,1.73913,42500.0,1,100,5000.0,10
9,0.008,0.5,0.1,100000.0,50000.0,"true",2.0,"true",0.0,0.85,1.308761,1.826087,1.0,-662163191,1.73913,42500.0,1,100,5000.0,10
11,0.01,0.5,0.1,100000.0,50000.0,"true",2.0,"true",0.0,0.85,1.308761,1.826087,1.0,-662162645,1.73913,42500.0,1,100,5000.0,10
13,0.012,0.5,0.1,100000.0,50000.0,"true",2.0,"true",0.0,0.85,1.308761,1.826087,1.0,-662161953,1.73913,42500.0,1,100,5000.0,10
15,0.014,0.5,0.1,100000.0,50000.0,"true",2.0,"true",0.0,0.85,1.308761,1.826087,1.0,-662161323,1.73913,42500.0,1,100,5000.0,10
17,0.016,0.5,0.1,100000.0,50000.0,"true",2.0,"true",0.0,0.85,1.308761,1.826087,1.0,-662160733,1.73913,42500.0,1,100,5000.0,10
19,0.018,0.5,0.1,100000.0,50000.0,"true",2.0,"true",0.0,0.85,1.308761,1.826087,1.0,-662160124,1.73913,42500.0,1,100,5000.0,10
21,0.02,0.5,0.1,100000.0,50000.0,"true",2.0,"true",0.0,0.85,1.308761,1.826087,1.0,-662159593,1.73913,42500.0,1,100,5000.0,10
23,0.022,0.5,0.1,100000.0,50000.0,"true",2.0,"true",0.0,0.85,1.308761,1.826087,1.0,-662159005,1.73913,42500.0,1,100,5000.0,10
25,0.024,0.5,0.1,100000.0,50000.0,"true",2.0,"true",0.0,0.85,1.308761,1.826087,1.0,-662158548,1.73913,42500.0,1,100,5000.0,10
27,0.026,0.5,0.1,100000.0,50000.0,"true",2.0,"true",0.0,0.85,1.308761,1.826087,1.0,-662158021,1.73913,42500.0,1,100,5000.0,10
29,0.028,0.5,0.1,100000.0,50000.0,"true",2.0,"true",0.0,0.85,1.308761,1.826087,1.0,-662157415,1.73913,42500.0,1,100,5000.0,10
31,0.03,0.5,0.1,100000.0,50000.0,"true",2.0,"true",0.0,0.85,1.308761,1.826087,1.0,-662156877,1.73913,42500.0,1,100,5000.0,10
33,0.032,0.5,0.1,100000.0,50000.0,"true",2.0,"true",0.0,0.85,1.308761,1.826087,1.0,-662156399,1.73913,42500.0,1,100,5000.0,10
35,0.034,0.5,0.1,100000.0,50000.0,"true",2.0,"true",0.0,0.85,1.308761,1.826087,1.0,-662155911,1.73913,42500.0,1,100,5000.0,10
37,0.036,0.5,0.1,100000.0,50000.0,"true",2.0,"true",0.0,0.85,1.308761,1.826087,1.0,-662155510,1.73913,42500.0,1,100,5000.0,10
39,0.038,0.5,0.1,100000.0,50000.0,"true",2.0,"true",0.0,0.85,1.308761,1.826087,1.0,-662155007,1.73913,42500.0,1,100,5000.0,10
41,0.04,0.5,0.1,100000.0,50000.0,"true",2.0,"true",0.0,0.85,1.308761,1.826087,1.0,-662154561,1.73913,42500.0,1,100,5000.0,10
43,0.042,0.5,0.1,100000.0,50000.0,"true",2.0,"true",0.0,0.85,1.308761,1.826087,1.0,-662154128,1.73913,42500.0,1,100,5000.0,10
45,0.044,0.5,0.1,100000.0,50000.0,"true",2.0,"true",0.0,0.85,1.308761,1.826087,1.0,-662153609,1.73913,42500.0,1,100,5000.0,10
47,0.046,0.5,0.1,100000.0,50000.0,"true",2.0,"true",0.0,0.85,1.308761,1.826087,1.0,-662153081,1.73913,42500.0,1,100,5000.0,10
49,0.048,0.5,0.1,100000.0,50000.0,"true",2.0,"true",0.0,0.85,1.308761,1.826087,1.0,-662152601,1.73913,42500.0,1,100,5000.0,10
