"run","Blank","Consumer Shock Probability","Consumer Distribution Deviation","Consumer Initial Endowment","Consumer Income","Bank Assets Visible","Consumer Shock Multiplier","All Consumers Visible","Bank Initial Endowment","Consumer Mean Rate of Consumption","Consumer Short Term Payout","Bank Long Term Asset Return","Bank Short Term Asset Return","randomSeed","Consumer Long Term Payout","Expected Average Withdrawal","Bank Count","Consumer Count","Bank Cost 2","Consumer Group Size"
1,0.0,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-722280057,1.73913,42500.0,1,100,5000.0,10
3,0.006,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-722277702,1.73913,42500.0,1,100,5000.0,10
5,0.012,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-722276523,1.73913,42500.0,1,100,5000.0,10
7,0.018,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-722275389,1.73913,42500.0,1,100,5000.0,10
9,0.024,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-722274083,1.73913,42500.0,1,100,5000.0,10
11,0.03,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-722273136,1.73913,42500.0,1,100,5000.0,10
13,0.036,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-722272213,1.73913,42500.0,1,100,5000.0,10
15,0.042,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-722270835,1.73913,42500.0,1,100,5000.0,10
17,0.048,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-722269550,1.73913,42500.0,1,100,5000.0,10
19,0.054,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-722268262,1.73913,42500.0,1,100,5000.0,10
21,0.06,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-722266976,1.73913,42500.0,1,100,5000.0,10
23,0.066,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-722265914,1.73913,42500.0,1,100,5000.0,10
25,0.072,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-722264804,1.73913,42500.0,1,100,5000.0,10
27,0.078,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-722263913,1.73913,42500.0,1,100,5000.0,10
29,0.084,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-722263145,1.73913,42500.0,1,100,5000.0,10
31,0.09,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-722262315,1.73913,42500.0,1,100,5000.0,10
33,0.096,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-722261447,1.73913,42500.0,1,100,5000.0,10
35,0.102,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-722260605,1.73913,42500.0,1,100,5000.0,10
37,0.108,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-722259904,1.73913,42500.0,1,100,5000.0,10
39,0.114,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-722259174,1.73913,42500.0,1,100,5000.0,10
41,0.12,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-722258262,1.73913,42500.0,1,100,5000.0,10
43,0.126,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-722257397,1.73913,42500.0,1,100,5000.0,10
45,0.132,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-722256648,1.73913,42500.0,1,100,5000.0,10
